Plate,Sample Name,Group,treatment ,E2 effect,age effect,duration effect,timing effect,Raw18S_Ct,Raw GAPDH_Ct,Ar-Rn00560747_m1,Arntl-Rn00577590_m1,Avp-Rn00566449_m1,Avpr1a-Rn00583910_m1,Bdnf-Rn02531967_s1,Clock-Rn00573120_m1,Crh-Rn01462137_m1,Cry1-Rn01503063_m1,Cry2-Rn01485701_m1,Cyp19a1;LOC100359906-Rn00567222_m1,Dbh-Rn00565819_m1,Dbp-Rn00497539_m1,Drd1a-Rn03062203_s1,Drd2-Rn00561126_m1,Esr1-Rn01640372_m1,Esr2-Rn00562610_m1,Gapdh-Rn01775763_g1,Gh1-Rn01495894_g1,Ghrh-Rn00580832_m1,Gper-Rn01643280_s1,Grin1-Rn01436038_m1,Grin2a-Rn00561341_m1,Grin2b-Rn00680474_m1,Hcrt-Rn00565995_m1,Igf1-Rn00710306_m1,Igf1r-Rn00583837_m1,Kiss1-Rn00710914_m1,Kiss1r-Rn00576940_m1,Lepr-Rn01433205_m1,Mtnr1a-Rn01488022_m1,Mtnr1b-Rn01447987_m1,Nkx2-1-Rn01512482_m1,Npvf-Rn00576645_m1,Npy-Rn01410145_m1,Nr3c1-Rn00561369_m1,Nr5a1-Rn00584298_m1,Oxt-Rn00564446_g1,Oxtr-Rn00563503_m1,Pdyn-Rn00571351_m1,Per1-Rn01496757_m1,Per2-Rn01427704_m1,Pgr-Rn01448227_m1,Pomc-Rn00595020_m1,Slc17a6-Rn00584780_m1,Tac2-Rn00569758_m1,Tacr3-Rn00566955_m1,Trh-Rn00564880_m1,,ABV ID,Pitutary weight,Pit index,Body Weight (g),Adrenal Weight (g),Ad index,Uterus Size (mm),E2 RIA,LH,FSH,GH,TSH,PRL,BDNF,ACTH,Note
1,ABV03,MA-VEH3mo/E2 3mo,7,,3,,1,9.1289997101,21.4409999847,1.453468454,0.8405462387,0.5783839067,0.8274821293,0.9768430147,1.021082334,1.349195346,0.7785165273,0.9980612764,2.3894842793,,1.0697694147,0.6575164858,0.6966957161,1.1642496926,1.347793702,1.2033861574,0.7183699087,3.4718392925,0.6021933268,1.1310787472,1.3325594745,1.5228777938,1.546921069,2.6632704666,0.9719133438,1.7458146909,0.8056919399,1.6806260336,0.6341518216,,1.6308224129,,1.7523604563,0.9815273517,9.071871491,1.2793400626,2.3367444843,1.9517910886,1.146947381,0.9467792212,3.1041512536,9.4676002383,1.3369995727,0.8239341738,0.896453054,0.8860127123,,ABV03,0.0145,4.7231270358,307,0.0582,18.9576547231,3.24,44.4593399179,0.518961,14.944291,4307.617,2.570862,31.220303,1.673734,0.007467,
1,ABV04,MA-VEH3mo/E2 3mo,7,,3,,1,8.7419996262,21.3600006104,1.1937496553,0.7575433875,1.4500478244,0.6943807447,1.2043040166,0.838626171,1.2987285265,0.9888337151,0.9741389641,1.0046550465,,0.7533020167,0.6216173361,0.9464505788,0.9582004594,1.0707338453,0.9733961389,4.0133256425,0.9212723743,0.9469101592,0.9617268944,0.8271375936,0.9691546439,0.91598763,2.2786818671,0.8844784883,1.6770188607,1.2416855143,0.6930339368,1.2115880404,,0.7282969099,,0.44236175,0.8357243471,0.3256513275,6.4236792974,1.096951265,0.7504354492,0.9538269239,0.9599954366,1.8923764446,0.0661093934,0.9447461242,0.6586573678,1.8990780076,1.1339831868,,ABV04,0.0157,5,314,0.053,16.8789808917,3.2,43.4698209352,1.330863,13.352127,8808.475,2.719507,53.906666,3.356324,0.010003,
4,ABV41,MA-VEH3mo/E2 3mo,7,,3,,1,9.1979999542,21.5009994507,1.1562872443,1.033400456,1.9508448233,0.9264597257,1.1440889925,1.1623942535,1.2042205894,1.059071371,1.07192275,1.0604674198,,1.0675470111,0.9938497339,0.7746413803,0.6770812688,0.9629955166,1.2109173887,6.8059582696,1.7847217633,1.2845820461,1.0350504029,1.4242482128,1.117906185,1.2120089085,2.5406542589,1.0606135199,0.2231212799,1.1441679514,0.9958494608,0.7234166998,,0.5714104007,,0.7771684442,1.0189613453,2.2726892948,3.0767316952,1.9298637719,1.2603286868,0.9380912689,1.087564309,1.9892168616,2.4708356736,1.0769868518,2.0343951583,1.3475130848,1.4433285835,,ABV41,,,298,0.0579,19.4295302013,4.68,52.829906477,0.518961,6.444298,50000,7.524068,76.92619,2.722026,0.022606,
4,ABV42,MA-VEH3mo/E2 3mo,7,,3,,1,9.6780004501,21.968000412,1.5534754877,1.4136255724,,1.7898019761,2.0622233761,1.5519695442,2.2285405685,1.7749762265,1.4847306249,3.2258979368,,1.5749428438,1.1876424509,0.9041292929,1.5309211781,1.8746229828,1.2218777754,2.3050515008,3.122495163,1.6997226082,1.2822700098,1.7149912297,1.4189265768,1.5652582853,3.2902568412,2.0489726976,3.2918540993,1.473553626,1.6448996286,1.2048886471,,2.0670878405,,3.1043675375,1.5780039271,4.6152243362,3.5415983728,3.0790808545,1.8274099067,1.7192743675,1.8113932909,4.3115324577,18.2269269509,1.180993489,1.7970119875,1.9565342189,1.3588637775,,ABV42,0.0122,3.57771261,341,0.0556,16.3049853372,4.32,65.0228826797,0.238121,6.056849,17605.772,1.415906,26.289082,2.858381,0.0195,
,ABV43,MA-VEH3mo/E2 3mo,7,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABV43,0.0156,,,0.055,,3.5,34.2122293929,0.5364,8.074377,5643.66,2.15804,31.053196,1.640999,0.021085,didn't weight bodyweight
5,ABV44,MA-VEH3mo/E2 3mo,7,,3,,1,9.2969999313,21.986000061,0.9314179011,1.226374938,0.9454675858,1.0372756408,0.8646564868,0.9849347855,0.269451755,,1.0469551123,1.0386435081,,1.0727400544,0.9292253871,1.0150851966,0.725677448,1.0249831446,0.9266521693,0.2439743054,4.0269844931,0.9436346479,1.0193861875,1.7257219914,1.3582981718,1.3903029692,1.1811560377,1.4259269192,0.8298367903,0.9280662799,1.837825004,1.0591441824,,1.6444438792,,2.8075250905,1.0951286564,10.263142625,0.4414735772,2.5981755512,2.2638844072,1.3248236594,0.8156933766,1.938846993,16.9122844007,1.1297471578,0.6486898271,0.8743602296,0.581721248,,ABV44,0.0132,3.9169139466,337,,,3,73.2060175598,0.919157,15.131547,9394.772,2.001215,21.169948,5.07492,0.052285,
5,ABV45,MA-VEH3mo/E2 3mo,7,,3,,1,9.640999794,21.6319999695,1.8525329298,1.348540874,1.1361074541,1.9116246681,1.7632033519,1.7545490647,2.9816259912,1.2796946253,1.5499262543,2.6957748645,,1.1159711508,1.3306213842,0.8642978441,1.9991687209,1.8707285277,1.5032654288,0.6249451471,2.7889058473,1.5716722091,1.7132068518,1.5639559418,2.1299216786,2.1891942769,4.4082290397,1.2242505318,2.5454136142,1.2161314171,1.5178196021,4.2307108779,,1.9047473745,,1.6125005793,1.3141217551,2.9822469095,0.9899310264,2.7425158056,1.5897501753,1.1295897424,1.5671031948,4.8608181745,8.7301059611,1.6713344526,1.9100353996,1.0727394871,1.9203902001,,ABV45,0.0127,3.8837920489,327,0.0702,21.4678899083,3.87,107.0741013271,0.238121,5.959692,10349.033,2.218613,76.439348,3.003005,0.039031,
5,ABV46,MA-VEH3mo/E2 3mo,7,,3,,1,9.6909999847,21.5909996033,1.7513881549,1.4284003443,1.7509049843,1.689737146,1.4775435609,1.7988819872,1.6313874003,1.4052246237,1.4541736571,1.0300400843,,1.7621041223,1.3195994122,0.8715169036,1.124590182,1.7551571483,1.6011409582,0.4358181403,2.1150620902,1.8091354498,1.3743024232,1.6600185462,1.3686948614,2.2090093493,4.4946227059,1.4150954915,1.4348495643,0.9721832188,1.8365510474,3.2241097446,,1.1996393938,,1.7246465847,1.3595221809,2.9371142688,1.5522910973,2.2260720583,1.4278063615,1.4377366277,1.8843931326,3.5142083077,6.1645659166,1.1026684954,1.1069573781,0.9932994759,2.2212927116,,ABV46,0.0164,4.880952381,336,0.0611,18.1845238095,4.12,65.6557545844,0.195418,10.535257,5956.265,1.390752,62.382294,2.879047,0.039031,
5,ABV47,MA-VEH3mo/E2 3mo,7,,3,,1,8.2349996567,20.2989997864,1.2981874364,1.1610254902,0.455366179,1.0166337222,1.6462687228,1.0161407046,3.186781206,1.305677781,1.0296824046,2.1004514005,,0.8079288364,0.9513835362,0.8148460817,1.4136257593,1.66508871,1.4290930068,0.2245017155,1.5196085975,0.8761804598,1.0708080247,1.1640873159,0.904254213,1.4705936676,2.8623498049,0.9099753223,3.3703510872,1.1354782831,1.4034712028,1.4378358526,,1.5300721474,,0.7181215002,1.0203748027,3.8434420857,0.5319638097,1.6273219197,1.3257410696,1.1816472551,1.0770608948,2.6320719743,2.6500137608,1.2772137356,1.0655514999,0.7611743879,1.1870652469,,ABV47,0.0046,1.4603174603,315,0.0581,18.4444444444,3.53,72.1037782209,1.121648,15.837369,4488.203,2.005407,56.352624,2.545922,0.00725,
5,ABV48,MA-VEH3mo/E2 3mo,7,,3,,1,8.232000351,20.9759998322,1.1643300428,0.9437003963,0.5938207544,0.6910202201,1.2871670964,0.8328337753,1.1019810614,0.9086528044,0.9351051042,1.4436289632,,0.7771685469,0.7185195079,0.4929796667,1.1292773663,1.1897028603,0.8919906298,0.5369280406,4.2684151602,0.535997939,0.8020149266,0.830585573,0.9086529246,0.9648655513,2.6762276175,0.7987968533,1.3230804744,0.5824878314,1.4132342754,0.7021735413,,1.96509723,,2.3855125218,0.9031888224,5.1458211588,0.4874748186,2.727349449,1.1109553409,0.9888341073,0.7835521154,2.7725253605,12.3977003698,0.9460578844,1.258409134,0.5556704058,0.6571986651,,ABV48,0.0169,5.0598802395,334,0.0664,19.880239521,2.86,68.6717427135,0.172813,8.415711,8771.181,3.197387,72.62146,1.832491,0.017424,
1,ABV05,MA-E2 3mo/VEH 3mo,8,,3,,2,8.9189996719,21.7240009308,0.9230623633,0.7528318898,0.2477743567,0.5699072298,1.0261194857,0.8503332259,1.827789495,0.6642510158,0.8486255923,1.5133019027,,0.8877958122,,2.1743735957,1.6927870116,1.4345525285,0.8550606633,1.5711266563,0.3474073228,0.7798663301,0.9393278439,1.8754008626,1.2309737647,0.7543988249,1.3824227347,0.8037954852,0.6877230551,0.8983184454,1.1447232374,0.6036984833,,1.2839592564,,0.7266336386,0.7711587832,0.1200243875,1.0817733532,1.0284695066,0.6610353457,0.961794412,0.7895485382,0.9674095576,0.0629347194,0.6717516791,0.7242698419,1.0675471522,0.8977585276,,ABV05,0.0108,2.6666666667,405,0.04,9.8765432099,2.25,21.457903636,27.376851,31.081932,10462.387,5.205658,8.467184,2.618275,,
1,ABV06,MA-E2 3mo/VEH 3mo,8,,3,,2,8.9659996033,21.3600006104,1.3684093497,0.8623824632,0.3958704644,1.0964197322,0.9647312375,1.0519749683,1.7778085422,0.7493955245,1.028968642,1.6298048513,,0.9001886705,0.6507158421,1.3338523385,2.1029276776,1.1636037059,1.1368949342,0.7447348989,2.397780792,0.9891766821,1.1326484776,1.2160478136,1.1686153991,1.0817737823,1.2009688902,0.8931038538,1.3907849979,1.1738918466,1.3537848365,0.7620183598,,1.6444427922,,1.2144475938,0.9402394388,1.4393326586,0.9450087055,1.1611056179,0.8973857989,0.9251759957,0.9680138115,1.2076474469,4.7799606107,1.1925088692,1.5375151274,0.9701638031,1.6238291549,,ABV06,,,382,0.0406,10.6282722513,2.31,17.8365102613,11.85053,11.804638,5936.842,5.494099,9.543534,2.130525,0.010003,
1,ABV07,MA-E2 3mo/VEH 3mo,8,,3,,2,8.8120002747,21.7530002594,0.6971303263,0.7750710206,0.5868652263,0.9175128243,0.7830630062,0.8123082925,1.9739685896,1.8619326641,0.8271382497,1.3867438582,,1.0419598991,0.7813817805,0.7650366806,1.2417725221,1.4965087,0.7781390877,0.3723674494,0.8619642499,0.9102276377,0.7089233214,0.795096014,0.7473208856,0.9058852552,0.6552876005,0.7705179701,1.5198191589,0.608909995,0.9645982177,0.5851591482,,1.0737074471,,0.8335270755,0.7749100569,1.7634506973,0.7409251407,0.6490944905,0.7437039554,0.9478952786,1.1134981809,0.8011810986,6.7178512863,0.6920749294,0.7692903176,0.3331626399,0.8890893838,,ABV07,0.0025,0.6944444444,360,0.047,13.0555555556,2.03,15.9828539291,16.776528,27.271907,1416.677,4.971452,2.455104,2.196399,0.023346,
1,ABV08,MA-E2 3mo/VEH 3mo,8,,3,,2,8.8260002136,21.6760005951,1.3072181156,0.9249194143,0.5441589271,0.9498683419,1.3408978788,1.0548954974,1.4631724609,1.342387119,1.07192275,1.6062553161,,0.9534964655,0.6764706931,1.4892638349,0.9496052891,1.1627978795,0.8288020978,0.6753934203,2.0134935775,0.9495396315,1.0053523422,1.4212893935,1.3489163987,0.8249622437,1.1135756174,1.0964951112,1.1218656727,1.6080362936,1.7302739348,0.7546614783,,0.8002924823,,1.4583127715,1.1909391524,4.291256924,2.1426545658,1.0320415404,1.1824678639,1.0956592736,0.8994409936,1.2650555068,4.6880916015,1.0658462485,0.982548615,0.8945907082,1.5004544597,,ABV08,0.0081,2.16,375,0.0458,12.2133333333,2.2,18.764991878,16.09513,16.676517,3043.799,6.237032,3.923618,2.732975,0.033255,
6,ABV55,MA-E2 3mo/VEH 3mo,8,,3,,2,8.2729997635,20.3869991302,1.389436767,1.2811148751,1.1290429915,0.9073924286,1.4867895869,1.1487781635,3.9152351247,1.1280260407,1.0275432801,1.6628978089,,0.6165538591,0.8864429451,1.3182278175,2.6016004192,1.7406186078,1.3804135827,0.3685163245,0.7498629106,1.0071650737,1.0971035519,1.1584528339,1.0768365031,1.7744827948,1.6972491652,1.0416705166,1.2967501457,1.2721772312,1.8868758582,1.3462064458,,1.3761138218,,0.7696637703,1.1688584521,0.2225803779,1.4797975727,0.8781262543,0.8407795253,0.766734434,0.9094715024,1.278275781,0.1173589774,0.9692893172,1.1749498362,0.983706447,1.6510674591,,ABV55,0.0108,2.7341772152,395,0.0493,12.4810126582,2.15,22.7809250168,25.777864,45.80094,3238.768,10.271461,13.989381,3.00081,0.00725,
,ABV56,MA-E2 3mo/VEH 3mo,8,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABV56,0.0144,3.7696335079,382,0.063,16.4921465969,2.65,24.3089772562,29.971048,88.453226,7227.281,10.001313,2.361606,4.563977,,
6,ABV57,MA-E2 3mo/VEH 3mo,8,,3,,2,8.2829999924,20.5820007324,1.0916426048,1.1978105323,0.7140510946,1.1071104686,1.6439871694,1.0028453743,3.5433153027,0.9245349201,0.8773354251,2.78118573,,0.6723567509,0.8509225123,0.5973297664,2.1635501389,1.3628242117,1.2142783766,0.2945941077,2.6256949893,0.8073688973,0.9341338948,0.8410126543,1.0933842413,1.1854211978,1.3060408517,0.7536151992,7.3763133927,1.0749724161,1.4063929284,0.7458195292,,1.9219891008,,1.7829918847,1.0119233735,1.9607426136,0.9159878722,1.2591941504,1.4527626326,0.7050514746,0.7950404088,0.8688625767,11.575484382,0.9050066089,2.5168166043,0.9051951946,1.1747875202,,ABV57,0.0089,2.2704081633,392,0.0463,11.8112244898,1.84,32.4594617654,30.894031,38.911757,7944.459,11.848278,7.056113,4.569614,,
6,ABV58,MA-E2 3mo/VEH 3mo,8,,3,,2,8.1540002823,20.718000412,0.9040655843,0.9981989108,0.7341262692,1.2073125269,0.9026253915,1.0527046896,2.1229928748,0.7937741049,0.8480378966,1.2173134135,,0.6700309631,1.173729832,0.6894893888,1.5706923853,1.3329289629,1.0105213561,0.7742114663,0.7143489975,0.8828863391,0.87946701,0.8634589639,0.8004036906,1.0434776832,1.1488580536,0.7785711827,1.208235138,1.1886303292,0.808881004,1.4937091804,,1.0970278409,,0.9508571673,0.9107327192,0.7575433875,0.5817211711,0.732804672,0.7519976946,0.7866531303,0.8651965601,1.0268326295,1.1582924907,0.868140689,0.8565443118,0.6658642721,1.4028885138,,ABV58,0.0124,2.9807692308,416,0.0564,13.5576923077,1.39,19.0320402341,34.151707,41.924297,1819.703,10.793555,9.277711,3.545995,0.012215,
6,ABV59,MA-E2 3mo/VEH 3mo,8,,3,,2,8.8540000916,21.3239994049,1.0841011899,1.207815261,0.2772194523,0.7720679224,1.2101623095,0.8889045061,3.9781528609,0.7731387982,1.1432963783,1.9885266351,,0.7372875015,0.6198967683,1.0011092393,2.1441428409,1.8681371318,1.0785556583,0.7614389976,0.5730366181,1.0247704155,1.0222169183,1.1640880854,1.3002594596,1.0976352711,1.5180297149,0.7572801316,0.8638789303,1.0347629394,0.9056342632,0.9043162611,,1.2964803274,,0.4093196952,0.9639962234,0.0837597724,0.6985322847,0.7751250242,0.6679442802,0.6150599908,0.7412845295,1.1361867634,0.1045307522,0.9917162142,1.0552620748,0.8434068209,1.5182398568,,ABV59,0.0119,3.2336956522,368,0.0475,12.9076086957,2.06,12.3744287027,34.174834,45.625235,7122.871,9.122025,5.342452,7.635482,,
6,ABV60,MA-E2 3mo/VEH 3mo,8,,3,,2,8.5749998093,21.7709999084,0.8411874601,0.9008759864,0.8374649207,0.9316103892,0.6621356735,0.9234461231,0.371671402,1.4307789369,0.7717465613,0.7099064264,,0.8701285614,0.8276534662,0.6175380158,0.9919921125,0.6305138523,0.6520704928,0.0542887862,3.6876432879,0.7512160665,0.7069601656,0.7516852837,0.6753928845,0.2105740745,0.9768435313,0.8962045569,11.6794469752,0.58653906,1.7100035374,,,2.6751122652,,3.331797141,0.9324511281,6.4683614017,0.9268441627,1.7070436152,1.6538166215,0.7752855202,0.7361644731,0.8334690029,32.2672527049,0.9434380538,3.6416721341,0.9823431345,0.5882089552,,ABV60,0.0125,3.0120481928,415,0.0616,14.843373494,2.27,12.6434930059,9.870117,58.513136,7419.535,11.692666,7.69913,7.21407,0.018889,
